,Cities,Lat,Temp,Humidity,Cloud,Wind
0,saint george,39.45,77,69,20,4.7
1,point pedro,9.82,82.24,98,24,22.17
2,punta arenas,-53.16,35.6,80,40,28.86
3,waverley,-33.9,50.81,50,0,16.11
4,meyungs,69.44,51.8,93,90,4.7
5,tuktoyaktuk,14.4,85.12,19,88,4.83
6,mys shmidta,59.7,77,69,0,11.18
7,palabuhanratu,60.75,61.45,43,24,2.48
8,marzuq,-0.39,64.4,55,75,18.34
9,nikolskoye,-30.17,60.46,79,0,19.22
10,haines junction,-0.9,77,69,75,14.99
11,san cristobal,65.28,64.4,77,75,5.82
12,cidreira,42.65,75.88,44,75,5.82
13,puerto baquerizo moreno,-34.42,42.82,95,0,2.77
14,norman wells,68.05,70.18,57,0,4.9
15,albany,22.08,80.6,78,75,14.99
16,hermanus,67.46,47.59,100,92,5.06
17,taolanaro,-9.8,80.26,98,76,23.06
18,ostrovnoy,-27.7,54.25,37,8,5.01
19,kapaa,-54.81,37.4,55,40,10.29
20,srednekolymsk,-5.56,78.46,100,24,9.08
21,atuona,72.79,42.46,85,92,17.13
22,kathu,40.8,60.26,72,75,5.82
23,ushuaia,-33.64,58.66,100,20,16.8
24,kimbe,35.74,77.02,83,1,5.82
25,upernavik,-46.28,31.39,65,0,5.35
26,eureka,66.82,53.62,88,92,12.84
27,busselton,-46.19,25.9,81,0,2.89
28,nishihara,42.83,73.4,40,1,8.05
29,kaitangata,25.29,95,67,0,11.41
30,kharp,64.17,53.6,54,20,8.05
31,mataura,-26.98,63.25,67,0,3.89
32,lander,-25.24,39.2,64,0,4.7
33,doha,38.52,73.4,83,75,18.34
34,nuuk,-34.72,57.22,88,92,17.13
35,san patricio,-22.97,80.98,65,40,13.87
36,yulara,4.87,77.47,96,88,15.68
37,ribeira grande,-43.03,48.2,100,20,25.28
38,port lincoln,-23.58,53.89,79,0,8.52
39,arraial do cabo,-20.63,80.8,34,0,8.59
40,axim,-38.31,51.91,100,88,14.07
41,margate,-25.41,62.17,71,48,2.71
42,bluff,59.58,57.2,100,90,6.71
43,ponta do sol,70.62,34.81,83,0,12.17
44,barrow,32.3,82.4,74,40,10.29
45,taltal,19.71,69.12,83,90,5.82
46,ola,-33.69,55.78,96,88,19.66
47,chokurdakh,-23.12,73.24,100,64,13.67
48,hamilton,29.03,90.61,20,0,6.62
